100

x:             u:             v:
0               0               0
0.01      0.08519098      0.08516304
0.02       0.1613336       0.1612702
0.03       0.2292889       0.2291831
0.04        0.289836       0.2896818
0.05       0.3436799       0.3434716
0.06       0.3914585       0.3911911
0.07        0.433749       0.4334179
0.08       0.4710737       0.4706747
0.09        0.503905       0.5034344
0.1       0.5326707       0.5321251
0.11       0.5577575       0.5571339
0.12       0.5795157       0.5788112
0.13       0.5982619       0.5974741
0.14       0.6142828       0.6134094
0.15       0.6278377       0.6268766
0.16       0.6391613       0.6381107
0.17        0.648466       0.6473242
0.18       0.6559438       0.6547093
0.19       0.6617686         0.66044
0.2       0.6660978       0.6646738
0.21       0.6690736       0.6675531
0.22       0.6708248       0.6692068
0.23        0.671468       0.6697516
0.24       0.6711086       0.6692929
0.25        0.669842       0.6679264
0.26       0.6677546       0.6657382
0.27       0.6649244       0.6628067
0.28       0.6614222       0.6592026
0.29       0.6573119       0.6549899
0.3       0.6526514       0.6502266
0.31        0.647493       0.6449649
0.32        0.641884       0.6392523
0.33       0.6358675       0.6331318
0.34       0.6294822       0.6266422
0.35       0.6227631       0.6198185
0.36        0.615742       0.6126926
0.37       0.6084477       0.6052933
0.38       0.6009061       0.5976465
0.39       0.5931409       0.5897758
0.4       0.5851732       0.5817025
0.41       0.5770224       0.5734459
0.42       0.5687058       0.5650235
0.43       0.5602393        0.556451
0.44       0.5516371       0.5477426
0.45       0.5429122       0.5389114
0.46       0.5340761        0.529969
0.47       0.5251395       0.5209261
0.48        0.516112        0.511792
0.49       0.5070022       0.5025757
0.5       0.4978179       0.4932848
0.51       0.4885662       0.4839264
0.52       0.4792536        0.474507
0.53       0.4698858       0.4650325
0.54       0.4604681       0.4555079
0.55       0.4510052       0.4459382
0.56       0.4415014       0.4363276
0.57       0.4319607       0.4266799
0.58       0.4223865       0.4169988
0.59        0.412782       0.4072873
0.6       0.4031502       0.3975485
0.61       0.3934935       0.3877848
0.62       0.3838144       0.3779987
0.63       0.3741151       0.3681923
0.64       0.3643973       0.3583675
0.65        0.354663       0.3485261
0.66       0.3449136       0.3386696
0.67       0.3351506       0.3287995
0.68       0.3253753       0.3189171
0.69       0.3155889       0.3090235
0.7       0.3057924       0.2991199
0.71       0.2959867       0.2892071
0.72       0.2861729       0.2792861
0.73       0.2763515       0.2693576
0.74       0.2665234       0.2594223
0.75       0.2566892        0.249481
0.76       0.2468494       0.2395341
0.77       0.2370047       0.2295821
0.78       0.2271554       0.2196257
0.79        0.217302       0.2096651
0.8       0.2074449       0.1997009
0.81       0.1975845       0.1897332
0.82        0.187721       0.1797626
0.83       0.1778548       0.1697892
0.84       0.1679861       0.1598133
0.85       0.1581151       0.1498351
0.86       0.1482421       0.1398549
0.87       0.1383673       0.1298729
0.88       0.1284908       0.1198892
0.89       0.1186128        0.109904
0.9       0.1087334      0.09991745
0.91      0.09885284      0.08992965
0.92      0.08897112      0.07994073
0.93      0.07908839       0.0699508
0.94      0.06920475      0.05995995
0.95      0.05932028      0.04996828
0.96      0.04943506      0.03997586
0.97      0.03954916      0.02998275
0.98      0.02966265      0.01998904
0.99      0.01977559     0.009994771
1      0.00988802    5.888573e-18
1.01               0               0
