1000

x:             u:             v:
0.202       0.6655499       0.6653537
0.203       0.6658708       0.6656737
0.204       0.6661787       0.6659806
0.205       0.6664735       0.6662744
0.206       0.6667555       0.6665554
0.207       0.6670247       0.6668236
0.208       0.6672814       0.6670792
0.209       0.6675255       0.6673224
0.21       0.6677572       0.6675531
0.211       0.6679767       0.6677716
0.212       0.6681841        0.667978
0.213       0.6683795       0.6681724
0.214        0.668563       0.6683549
0.215       0.6687347       0.6685256
0.216       0.6688948       0.6686847
0.217       0.6690433       0.6688322
0.218       0.6691805       0.6689684
0.219       0.6693063       0.6690932
0.22       0.6694209       0.6692068
0.221       0.6695245       0.6693094
0.222       0.6696171        0.669401
0.223       0.6696988       0.6694817
0.224       0.6697697       0.6695517
0.225       0.6698301        0.669611
0.226       0.6698799       0.6696598
0.227       0.6699192       0.6696981
0.228       0.6699482       0.6697261
0.229        0.669967       0.6697439
0.23       0.6699757       0.6697516
0.231       0.6699743       0.6697492
0.232        0.669963       0.6697369
0.233       0.6699419       0.6697148
0.234       0.6699111        0.669683
0.235       0.6698706       0.6696415
0.236       0.6698206       0.6695905
0.237       0.6697611         0.66953
0.238       0.6696923       0.6694602
0.239       0.6696142       0.6693812
0.24        0.669527       0.6692929
0.241       0.6694307       0.6691956
0.242       0.6693254       0.6690894
0.243       0.6692113       0.6689742
0.244       0.6690883       0.6688502
0.245       0.6689566       0.6687175
0.246       0.6688163       0.6685762
0.247       0.6686674       0.6684264
0.248       0.6685101        0.668268
0.249       0.6683444       0.6681013
0.25       0.6681704       0.6679264
0.251       0.6679882       0.6677432
0.252       0.6677979       0.6675518
0.253       0.6675995       0.6673525
0.254       0.6673932       0.6671451
0.255        0.667179       0.6669299
0.256       0.6669569       0.6667069
0.257       0.6667272       0.6664761
0.258       0.6664898       0.6662377
0.259       0.6662448       0.6659917
0.26       0.6659923       0.6657382
0.261       0.6657324       0.6654773
0.262       0.6654651        0.665209
0.263       0.6651905       0.6649335
0.264       0.6649088       0.6646507
0.265       0.6646199       0.6643608
0.266       0.6643239       0.6640639
0.267        0.664021       0.6637599
0.268       0.6637111        0.663449
0.269       0.6633943       0.6631313
0.27       0.6630708       0.6628067
0.271       0.6627406       0.6624755
0.272       0.6624037       0.6621376
0.273       0.6620602       0.6617931
0.274       0.6617102       0.6614421
0.275       0.6613537       0.6610846
0.276       0.6609908       0.6607208
0.277       0.6606217       0.6603506
0.278       0.6602462       0.6599741
0.279       0.6598645       0.6595915
0.28       0.6594767       0.6592026
0.281       0.6590829       0.6588078
0.282       0.6586829       0.6584069
0.283       0.6582771           0.658
0.284       0.6578653       0.6575872
0.285       0.6574477       0.6571686
0.286       0.6570243       0.6567442
0.287       0.6565952       0.6563141
0.288       0.6561604       0.6558783
0.289         0.65572       0.6554369
0.29       0.6552741       0.6549899
0.291       0.6548226       0.6545375
0.292       0.6543657       0.6540796
0.293       0.6539034       0.6536163
0.294       0.6534357       0.6531476
0.295       0.6529628       0.6526737
0.296       0.6524846       0.6521945
0.297       0.6520013       0.6517102
0.298       0.6515128       0.6512207
0.299       0.6510193       0.6507261
0.3       0.6505207       0.6502266
0.301       0.6500171        0.649722
0.302       0.6495086       0.6492125
0.303       0.6489953       0.6486981
0.304       0.6484771       0.6481789
0.305       0.6479541       0.6476549
0.306       0.6474263       0.6471262
0.307       0.6468939       0.6465928
0.308       0.6463569       0.6460547
0.309       0.6458152       0.6455121
0.31        0.645269       0.6449649
0.311       0.6447183       0.6444132
0.312       0.6441632        0.643857
0.313       0.6436036       0.6432964
0.314       0.6430396       0.6427315
0.315       0.6424713       0.6421622
0.316       0.6418988       0.6415886
0.317        0.641322       0.6410108
0.318        0.640741       0.6404288
0.319       0.6401558       0.6398426
0.32       0.6395665       0.6392523
0.321       0.6389732        0.638658
0.322       0.6383758       0.6380596
0.323       0.6377744       0.6374572
0.324        0.637169       0.6368508
0.325       0.6365598       0.6362405
0.326       0.6359466       0.6356264
0.327       0.6353296       0.6350084
0.328       0.6347089       0.6343866
0.329       0.6340843       0.6337611
0.33        0.633456       0.6331318
0.331       0.6328241       0.6324989
0.332       0.6321885       0.6318622
0.333       0.6315493        0.631222
0.334       0.6309064       0.6305782
0.335       0.6302601       0.6299309
0.336       0.6296102         0.62928
0.337       0.6289569       0.6286257
0.338       0.6283001       0.6279679
0.339         0.62764       0.6273067
0.34       0.6269764       0.6266422
0.341       0.6263096       0.6259743
0.342       0.6256394       0.6253031
0.343       0.6249659       0.6246286
0.344       0.6242892       0.6239509
0.345       0.6236093         0.62327
0.346       0.6229262       0.6225859
0.347         0.62224       0.6218987
0.348       0.6215507       0.6212084
0.349       0.6208583        0.620515
0.35       0.6201628       0.6198185
0.351       0.6194643        0.619119
0.352       0.6187629       0.6184165
0.353       0.6180584       0.6177111
0.354       0.6173511       0.6170027
0.355       0.6166408       0.6162915
0.356       0.6159277       0.6155773
0.357       0.6152117       0.6148604
0.358       0.6144929       0.6141406
0.359       0.6137713        0.613418
0.36        0.613047       0.6126926
0.361       0.6123199       0.6119645
0.362       0.6115901       0.6112338
0.363       0.6108577       0.6105003
0.364       0.6101226       0.6097642
0.365       0.6093848       0.6090254
0.366       0.6086445       0.6082841
0.367       0.6079016       0.6075402
0.368       0.6071561       0.6067937
0.369       0.6064081       0.6060448
0.37       0.6056577       0.6052933
0.371       0.6049047       0.6045393
0.372       0.6041493       0.6037829
0.373       0.6033915       0.6030241
0.374       0.6026313       0.6022629
0.375       0.6018687       0.6014993
0.376       0.6011038       0.6007333
0.377       0.6003365       0.5999651
0.378       0.5995669       0.5991945
0.379        0.598795       0.5984216
0.38       0.5980209       0.5976465
0.381       0.5972446       0.5968691
0.382        0.596466       0.5960895
0.383       0.5956852       0.5953078
0.384       0.5949023       0.5945238
0.385       0.5941172       0.5937377
0.386         0.59333       0.5929495
0.387       0.5925407       0.5921592
0.388       0.5917493       0.5913668
0.389       0.5909558       0.5905723
0.39       0.5901603       0.5897758
0.391       0.5893628       0.5889773
0.392       0.5885632       0.5881767
0.393       0.5877617       0.5873742
0.394       0.5869582       0.5865697
0.395       0.5861528       0.5857632
0.396       0.5853454       0.5849549
0.397       0.5845361       0.5841446
