1000

x:             u:             v:
0.202       0.6653482       0.6653537
0.203       0.6656681       0.6656737
0.204        0.665975       0.6659806
0.205       0.6662689       0.6662744
0.206       0.6665498       0.6665554
0.207       0.6668181       0.6668236
0.208       0.6670737       0.6670792
0.209       0.6673168       0.6673224
0.21       0.6675475       0.6675531
0.211        0.667766       0.6677716
0.212       0.6679724        0.667978
0.213       0.6681668       0.6681724
0.214       0.6683493       0.6683549
0.215         0.66852       0.6685256
0.216       0.6686791       0.6686847
0.217       0.6688267       0.6688322
0.218       0.6689628       0.6689684
0.219       0.6690876       0.6690932
0.22       0.6692013       0.6692068
0.221       0.6693038       0.6693094
0.222       0.6693954        0.669401
0.223       0.6694761       0.6694817
0.224       0.6695461       0.6695517
0.225       0.6696054        0.669611
0.226       0.6696542       0.6696598
0.227       0.6696925       0.6696981
0.228       0.6697206       0.6697261
0.229       0.6697384       0.6697439
0.23        0.669746       0.6697516
0.231       0.6697437       0.6697492
0.232       0.6697314       0.6697369
0.233       0.6697093       0.6697148
0.234       0.6696774        0.669683
0.235       0.6696359       0.6696415
0.236       0.6695849       0.6695905
0.237       0.6695245         0.66953
0.238       0.6694546       0.6694602
0.239       0.6693756       0.6693812
0.24       0.6692874       0.6692929
0.241       0.6691901       0.6691956
0.242       0.6690838       0.6690894
0.243       0.6689686       0.6689742
0.244       0.6688447       0.6688502
0.245        0.668712       0.6687175
0.246       0.6685706       0.6685762
0.247       0.6684208       0.6684264
0.248       0.6682625        0.668268
0.249       0.6680958       0.6681013
0.25       0.6679208       0.6679264
0.251       0.6677376       0.6677432
0.252       0.6675463       0.6675518
0.253       0.6673469       0.6673525
0.254       0.6671396       0.6671451
0.255       0.6669244       0.6669299
0.256       0.6667013       0.6667069
0.257       0.6664706       0.6664761
0.258       0.6662322       0.6662377
0.259       0.6659862       0.6659917
0.26       0.6657327       0.6657382
0.261       0.6654718       0.6654773
0.262       0.6652035        0.665209
0.263       0.6649279       0.6649335
0.264       0.6646452       0.6646507
0.265       0.6643553       0.6643608
0.266       0.6640583       0.6640639
0.267       0.6637544       0.6637599
0.268       0.6634435        0.663449
0.269       0.6631257       0.6631313
0.27       0.6628012       0.6628067
0.271         0.66247       0.6624755
0.272       0.6621321       0.6621376
0.273       0.6617876       0.6617931
0.274       0.6614366       0.6614421
0.275       0.6610791       0.6610846
0.276       0.6607153       0.6607208
0.277       0.6603451       0.6603506
0.278       0.6599686       0.6599741
0.279        0.659586       0.6595915
0.28       0.6591972       0.6592026
0.281       0.6588023       0.6588078
0.282       0.6584014       0.6584069
0.283       0.6579945           0.658
0.284       0.6575817       0.6575872
0.285       0.6571631       0.6571686
0.286       0.6567388       0.6567442
0.287       0.6563086       0.6563141
0.288       0.6558728       0.6558783
0.289       0.6554314       0.6554369
0.29       0.6549845       0.6549899
0.291        0.654532       0.6545375
0.292       0.6540741       0.6540796
0.293       0.6536108       0.6536163
0.294       0.6531422       0.6531476
0.295       0.6526682       0.6526737
0.296       0.6521891       0.6521945
0.297       0.6517047       0.6517102
0.298       0.6512153       0.6512207
0.299       0.6507207       0.6507261
0.3       0.6502211       0.6502266
0.301       0.6497166        0.649722
0.302       0.6492071       0.6492125
0.303       0.6486927       0.6486981
0.304       0.6481735       0.6481789
0.305       0.6476495       0.6476549
0.306       0.6471208       0.6471262
0.307       0.6465874       0.6465928
0.308       0.6460493       0.6460547
0.309       0.6455067       0.6455121
0.31       0.6449595       0.6449649
0.311       0.6444078       0.6444132
0.312       0.6438516        0.643857
0.313       0.6432911       0.6432964
0.314       0.6427261       0.6427315
0.315       0.6421568       0.6421622
0.316       0.6415833       0.6415886
0.317       0.6410055       0.6410108
0.318       0.6404234       0.6404288
0.319       0.6398373       0.6398426
0.32        0.639247       0.6392523
0.321       0.6386526        0.638658
0.322       0.6380542       0.6380596
0.323       0.6374519       0.6374572
0.324       0.6368455       0.6368508
0.325       0.6362352       0.6362405
0.326       0.6356211       0.6356264
0.327       0.6350031       0.6350084
0.328       0.6343813       0.6343866
0.329       0.6337558       0.6337611
0.33       0.6331265       0.6331318
0.331       0.6324936       0.6324989
0.332        0.631857       0.6318622
0.333       0.6312168        0.631222
0.334        0.630573       0.6305782
0.335       0.6299256       0.6299309
0.336       0.6292748         0.62928
0.337       0.6286204       0.6286257
0.338       0.6279627       0.6279679
0.339       0.6273015       0.6273067
0.34       0.6266369       0.6266422
0.341       0.6259691       0.6259743
0.342       0.6252979       0.6253031
0.343       0.6246234       0.6246286
0.344       0.6239457       0.6239509
0.345       0.6232648         0.62327
0.346       0.6225808       0.6225859
0.347       0.6218935       0.6218987
0.348       0.6212032       0.6212084
0.349       0.6205098        0.620515
0.35       0.6198133       0.6198185
0.351       0.6191139        0.619119
0.352       0.6184114       0.6184165
0.353        0.617706       0.6177111
0.354       0.6169976       0.6170027
0.355       0.6162863       0.6162915
0.356       0.6155722       0.6155773
0.357       0.6148552       0.6148604
0.358       0.6141354       0.6141406
0.359       0.6134129        0.613418
0.36       0.6126875       0.6126926
0.361       0.6119594       0.6119645
0.362       0.6112287       0.6112338
0.363       0.6104952       0.6105003
0.364       0.6097591       0.6097642
0.365       0.6090204       0.6090254
0.366        0.608279       0.6082841
0.367       0.6075351       0.6075402
0.368       0.6067887       0.6067937
0.369       0.6060397       0.6060448
0.37       0.6052882       0.6052933
0.371       0.6045343       0.6045393
0.372       0.6037779       0.6037829
0.373       0.6030191       0.6030241
0.374       0.6022579       0.6022629
0.375       0.6014943       0.6014993
0.376       0.6007283       0.6007333
0.377       0.5999601       0.5999651
0.378       0.5991895       0.5991945
0.379       0.5984166       0.5984216
0.38       0.5976415       0.5976465
0.381       0.5968641       0.5968691
0.382       0.5960846       0.5960895
0.383       0.5953028       0.5953078
0.384       0.5945189       0.5945238
0.385       0.5937328       0.5937377
0.386       0.5929446       0.5929495
0.387       0.5921543       0.5921592
0.388       0.5913619       0.5913668
0.389       0.5905674       0.5905723
0.39       0.5897709       0.5897758
0.391       0.5889723       0.5889773
0.392       0.5881718       0.5881767
0.393       0.5873693       0.5873742
0.394       0.5865648       0.5865697
0.395       0.5857583       0.5857632
0.396         0.58495       0.5849549
0.397       0.5841397       0.5841446
0.398       0.5833276       0.5833324
0.399       0.5825135       0.5825184
0.4       0.5816977       0.5817025
0.401         0.58088       0.5808848
0.402       0.5800605       0.5800653
0.403       0.5792391        0.579244
0.404        0.578416       0.5784209
0.405       0.5775912        0.577596
0.406       0.5767646       0.5767694
0.407       0.5759363       0.5759411
0.408       0.5751063       0.5751111
0.409       0.5742745       0.5742793
0.41       0.5734412       0.5734459
0.411       0.5726061       0.5726109
0.412       0.5717694       0.5717742
0.413       0.5709311       0.5709359
0.414       0.5700912       0.5700959
0.415       0.5692497       0.5692544
0.416       0.5684066       0.5684113
0.417       0.5675619       0.5675667
0.418       0.5667157       0.5667205
0.419        0.565868       0.5658727
0.42       0.5650188       0.5650235
0.421        0.564168       0.5641727
0.422       0.5633158       0.5633205
0.423       0.5624621       0.5624668
0.424        0.561607       0.5616117
0.425       0.5607504       0.5607551
0.426       0.5598924        0.559897
0.427       0.5590329       0.5590376
0.428       0.5581721       0.5581768
0.429       0.5573099       0.5573146
0.43       0.5564463        0.556451
0.431       0.5555814        0.555586
0.432       0.5547151       0.5547197
0.433       0.5538475       0.5538521
0.434       0.5529786       0.5529832
0.435       0.5521083       0.5521129
0.436       0.5512368       0.5512414
0.437        0.550364       0.5503686
0.438       0.5494899       0.5494945
0.439       0.5486146       0.5486192
0.44       0.5477381       0.5477426
0.441       0.5468603       0.5468648
0.442       0.5459813       0.5459858
0.443       0.5451011       0.5451056
0.444       0.5442197       0.5442242
0.445       0.5433371       0.5433416
0.446       0.5424534       0.5424579
0.447       0.5415685        0.541573
0.448       0.5406824       0.5406869
0.449       0.5397952       0.5397997
0.45       0.5389069       0.5389114
0.451       0.5380175        0.538022
0.452        0.537127       0.5371315
0.453       0.5362354       0.5362399
0.454       0.5353427       0.5353472
0.455        0.534449       0.5344535
0.456       0.5335542       0.5335586
0.457       0.5326583       0.5326628
0.458       0.5317615       0.5317659
0.459       0.5308636        0.530868
0.46       0.5299646        0.529969
0.461       0.5290647       0.5290691
0.462       0.5281638       0.5281682
0.463       0.5272619       0.5272663
0.464        0.526359       0.5263634
0.465       0.5254551       0.5254595
0.466       0.5245503       0.5245547
0.467       0.5236446       0.5236489
0.468       0.5227379       0.5227422
0.469       0.5218303       0.5218346
0.47       0.5209217       0.5209261
0.471       0.5200123       0.5200166
0.472       0.5191019       0.5191063
0.473       0.5181907        0.518195
0.474       0.5172786       0.5172829
0.475       0.5163656       0.5163699
0.476       0.5154517        0.515456
0.477        0.514537       0.5145413
0.478       0.5136214       0.5136257
0.479        0.512705       0.5127093
0.48       0.5117878        0.511792
0.481       0.5108697        0.510874
0.482       0.5099508       0.5099551
0.483       0.5090312       0.5090354
0.484       0.5081107       0.5081149
0.485       0.5071894       0.5071936
0.486       0.5062674       0.5062716
0.487       0.5053445       0.5053487
0.488       0.5044209       0.5044251
0.489       0.5034966       0.5035008
0.49       0.5025715       0.5025757
0.491       0.5016456       0.5016498
0.492        0.500719       0.5007232
0.493       0.4997917       0.4997959
0.494       0.4988637       0.4988678
0.495       0.4979349       0.4979391
0.496       0.4970054       0.4970096
0.497       0.4960753       0.4960794
0.498       0.4951444       0.4951485
0.499       0.4942129        0.494217
0.5       0.4932806       0.4932848
0.501       0.4923477       0.4923518
0.502       0.4914142       0.4914183
0.503       0.4904799        0.490484
0.504       0.4895451       0.4895491
0.505       0.4886095       0.4886136
0.506       0.4876733       0.4876774
0.507       0.4867365       0.4867406
0.508       0.4857991       0.4858032
0.509        0.484861       0.4848651
0.51       0.4839224       0.4839264
0.511       0.4829831       0.4829871
0.512       0.4820432       0.4820472
0.513       0.4811027       0.4811067
0.514       0.4801616       0.4801656
0.515         0.47922        0.479224
0.516       0.4782777       0.4782817
0.517       0.4773349       0.4773389
0.518       0.4763915       0.4763955
0.519       0.4754476       0.4754516
0.52       0.4745031        0.474507
0.521        0.473558        0.473562
0.522       0.4726124       0.4726164
0.523       0.4716663       0.4716702
0.524       0.4707196       0.4707235
0.525       0.4697724       0.4697763
0.526       0.4688247       0.4688286
0.527       0.4678764       0.4678803
0.528       0.4669276       0.4669315
0.529       0.4659784       0.4659823
0.53       0.4650286       0.4650325
0.531       0.4640783       0.4640822
0.532       0.4631275       0.4631314
0.533       0.4621763       0.4621801
0.534       0.4612245       0.4612284
0.535       0.4602723       0.4602761
0.536       0.4593196       0.4593234
0.537       0.4583664       0.4583702
0.538       0.4574128       0.4574166
0.539       0.4564587       0.4564625
0.54       0.4555041       0.4555079
0.541       0.4545491       0.4545529
0.542       0.4535937       0.4535975
0.543       0.4526378       0.4526416
0.544       0.4516815       0.4516852
0.545       0.4507247       0.4507284
0.546       0.4497675       0.4497712
0.547       0.4488099       0.4488136
0.548       0.4478518       0.4478555
