62000      1.0000000     -1.9971856     0.99929000  -0.0021443663  -0.0048613174     0.99929000          18122
63000      1.0000000     -1.9971805     0.99928841  -0.0016859176  -0.0047549235     0.99928841          18424
64000      1.0000000     -1.9971747     0.99928664  -0.0012367063  -0.0046512089     0.99928664          18718
65000      1.0000000     -1.9971782     0.99928762 -0.00091435706  -0.0045606890     0.99928762          18944
66000      1.0000000     -1.9971836     0.99928902 -0.00058124650  -0.0044708361     0.99928902          19227
67000      1.0000000     -1.9971867     0.99928970 -0.00024940789  -0.0043827051     0.99928970          19514
68000      1.0000000     -1.9971885     0.99929000  9.2370900E-05  -0.0042951694     0.99929000          19800
69000      1.0000000     -1.9971926     0.99929094  0.00038655206  -0.0042131343     0.99929094          20080
70000      1.0000000     -1.9971974     0.99929214  0.00064338021  -0.0041358533     0.99929214          20323
71000      1.0000000     -1.9971910     0.99929049  0.00098124074  -0.0040550221     0.99929049          20640
72000      1.0000000     -1.9971974     0.99929188   0.0012408639  -0.0039796042     0.99929188          20906
73000      1.0000000     -1.9972003     0.99929260   0.0015221479  -0.0039056438     0.99929260          21192
74000      1.0000000     -1.9971991     0.99929209   0.0018267456  -0.0038305872     0.99929209          21462
75000      1.0000000     -1.9972040     0.99929333   0.0021038869  -0.0037600178     0.99929333          21720
76000      1.0000000     -1.9971996     0.99929217   0.0024089052  -0.0036886982     0.99929217          22050
77000      1.0000000     -1.9971982     0.99929175   0.0026770688  -0.0036210350     0.99929175          22374
78000      1.0000000     -1.9972003     0.99929237   0.0029271384  -0.0035568335     0.99929237          22638
79000      1.0000000     -1.9971925     0.99929025   0.0032639574  -0.0034858000     0.99929025          22949
80000      1.0000000     -1.9971929     0.99929031   0.0035135197  -0.0034230875     0.99929031          23228
81000      1.0000000     -1.9971970     0.99929136   0.0037087175  -0.0033653138     0.99929136          23514
82000      1.0000000     -1.9971973     0.99929128   0.0039516459  -0.0033046938     0.99929128          23818
83000      1.0000000     -1.9971908     0.99928940   0.0042304436  -0.0032415004     0.99928940          24130
84000      1.0000000     -1.9971843     0.99928762   0.0045077488  -0.0031803756     0.99928762          24462
85000      1.0000000     -1.9971851     0.99928759   0.0047330307  -0.0031231299     0.99928759          24736
86000      1.0000000     -1.9971881     0.99928837   0.0049229577  -0.0030709378     0.99928837          25031
87000      1.0000000     -1.9971916     0.99928925   0.0051058661  -0.0030201106     0.99928925          25298
88000      1.0000000     -1.9971915     0.99928915   0.0053144255  -0.0029679198     0.99928915          25586
89000      1.0000000     -1.9971940     0.99928978   0.0054839049  -0.0029195205     0.99928978          25842
90000      1.0000000     -1.9971957     0.99929006   0.0056956192  -0.0028679418     0.99929006          26132
91000      1.0000000     -1.9971988     0.99929077   0.0058630500  -0.0028207638     0.99929077          26388
92000      1.0000000     -1.9972004     0.99929114   0.0060336695  -0.0027745792     0.99929114          26666
93000      1.0000000     -1.9971972     0.99929016   0.0062521431  -0.0027253118     0.99929016          26966
94000      1.0000000     -1.9971938     0.99928920   0.0064569720  -0.0026777317     0.99928920          27298
95000      1.0000000     -1.9971924     0.99928879   0.0066246844  -0.0026338018     0.99928879          27574
96000      1.0000000     -1.9971895     0.99928797   0.0068358057  -0.0025876912     0.99928797          27870
97000      1.0000000     -1.9971994     0.99929046   0.0069277689  -0.0025503457     0.99929046          28124
98000      1.0000000     -1.9971982     0.99929015   0.0070868231  -0.0025092061     0.99929015          28406
99000      1.0000000     -1.9971981     0.99929010   0.0072390935  -0.0024688554     0.99929010          28713
100000      1.0000000     -1.9972002     0.99929065   0.0073668480  -0.0024311710     0.99929065          28990
101000      1.0000000     -1.9972008     0.99929074   0.0075073582  -0.0023928026     0.99929074          29272
102000      1.0000000     -1.9972057     0.99929206   0.0076037831  -0.0023587076     0.99929206          29532
103000      1.0000000     -1.9972064     0.99929218   0.0077614438  -0.0023203040     0.99929218          29842
104000      1.0000000     -1.9972042     0.99929159   0.0079188544  -0.0022825668     0.99929159          30134
105000      1.0000000     -1.9972035     0.99929133   0.0080570312  -0.0022462167     0.99929133          30441
106000      1.0000000     -1.9972035     0.99929127   0.0082193612  -0.0022089361     0.99929127          30726
107000      1.0000000     -1.9972012     0.99929061   0.0083863471  -0.0021716689     0.99929061          31036
108000      1.0000000     -1.9972030     0.99929083   0.0085254483  -0.0021356114     0.99929083          31286
109000      1.0000000     -1.9972020     0.99929064   0.0086637488  -0.0021021928     0.99929064          31563
110000      1.0000000     -1.9972042     0.99929118   0.0087751785  -0.0020706056     0.99929118          31862
111000      1.0000000     -1.9971980     0.99928959   0.0089345137  -0.0020361947     0.99928959          32182
112000      1.0000000     -1.9971945     0.99928857   0.0090701592  -0.0020029880     0.99928857          32478
113000      1.0000000     -1.9971968     0.99928920   0.0091719039  -0.0019735971     0.99928920          32730
114000      1.0000000     -1.9971942     0.99928842   0.0093029480  -0.0019416606     0.99928842          33046
115000      1.0000000     -1.9971857     0.99928617   0.0094803221  -0.0019071234     0.99928617          33364
116000      1.0000000     -1.9971839     0.99928573   0.0096136478  -0.0018767435     0.99928573          33652
117000      1.0000000     -1.9971870     0.99928654   0.0097011564  -0.0018496793     0.99928654          33924
118000      1.0000000     -1.9971858     0.99928627   0.0098183199  -0.0018210517     0.99928627          34218
119000      1.0000000     -1.9971827     0.99928550   0.0099719944  -0.0017905042     0.99928550          34526
120000      1.0000000     -1.9971844     0.99928600    0.010065330  -0.0017644184     0.99928600          34790
121000      1.0000000     -1.9971826     0.99928554    0.010177875  -0.0017370754     0.99928554          35076
122000      1.0000000     -1.9971789     0.99928459    0.010298931  -0.0017091507     0.99928459          35396
123000      1.0000000     -1.9971786     0.99928455    0.010399986  -0.0016834450     0.99928455          35702
124000      1.0000000     -1.9971840     0.99928589    0.010466981  -0.0016596281     0.99928589          35992
125000      1.0000000     -1.9971798     0.99928464    0.010643319  -0.0016251760     0.99928464          36298
126000      1.0000000     -1.9971812     0.99928496    0.010727439  -0.0016011000     0.99928496          36566
127000      1.0000000     -1.9971854     0.99928606    0.010800242  -0.0015785281     0.99928606          36816
