100      2.4000000     -1.2158000    -0.40920000     0.37752500      5.3245600     0.40920000          11472
200      2.4000000     -1.2294000    -0.44945000     0.36761389      4.1372829     0.44945000          22138
300      2.4000000     -1.1984667    -0.40606667     0.65219784      4.1156159     0.40606667          34083
400      2.4000000     -1.1951750    -0.36808750     0.66656037      4.2872133     0.36863750          45537
500      2.4000000     -1.2074200    -0.38118000     0.71730164      4.9232679     0.38162000          55961
600      2.4000000     -1.2354833    -0.43935833      1.0134560      7.0575078     0.43972500          64652
700      2.4000000     -1.2220429    -0.40950714      1.0291249      7.6877036     0.41362143          76721
800      2.4000000     -1.2273125    -0.42542500      1.0827189      7.5971574     0.42902500          87151
900      2.4000000     -1.2397333    -0.44921667      1.2162142      8.0532450     0.45241667          96434
1000      2.4000000     -1.2296100    -0.41936500      1.2110103      9.2716703     0.42689500         108644
1100      2.4000000     -1.2266182    -0.41622273      1.1513522      8.6550349     0.42306818         120128
1200      2.4000000     -1.2229750    -0.39520000      1.1330486      9.0686878     0.40305000         131607
1300      2.4000000     -1.2137231    -0.35279231      1.1516656      12.153893     0.38496154         144558
1400      2.4000000     -1.2120286    -0.29993929      1.1421745      17.610865     0.38511786         155963
1500      2.4000000     -1.2222867    -0.23492333      1.2116600      26.348946     0.40446333         164830
1600      2.4000000     -1.2274437    -0.17998125      1.2303318      32.338703     0.41944375         174592
1700      2.4000000     -1.2307471    -0.14026765      1.2277513      34.864030     0.42389706         184907
1800      2.4000000     -1.2289278    -0.10576111      1.2059580      36.423589     0.42706111         196366
1900      2.4000000     -1.2286947   -0.072476316      1.2071258      38.003226     0.43230263         207163
2000      2.4000000     -1.2346650   -0.035137500      1.2208533      40.565653     0.44440250         216267
2100      2.4000000     -1.2324857   -0.015183333      1.2274876      40.210754     0.44152143         227743
2200      2.4000000     -1.2284545   -0.012284091      1.2157369      38.782333     0.43058864         239869
2300      2.4000000     -1.2268870   -0.021458696      1.1914345      37.812288     0.42287174         251150
2400      2.4000000     -1.2329250   -0.049725000      1.2300887      39.351932     0.43441250         259913
2500      2.4000000     -1.2322880   -0.068138000      1.2274531      39.258917     0.43743800         270843
2600      2.4000000     -1.2303538   -0.074869231      1.2143716      38.364635     0.43153077         282563
2700      2.4000000     -1.2255037   -0.068535185      1.2378193      37.462703     0.42179815         295293
2800      2.4000000     -1.2249750   -0.047989286      1.2361954      38.142880     0.42483214         306452
2900      2.4000000     -1.2272828   -0.024413793      1.2444585      39.504489     0.43210345         316230
3000      2.4000000     -1.2278867   -0.014801667      1.2777824      39.712489     0.43234167         327069
3100      2.4000000     -1.2307516   -0.034382258      1.2802094      40.414438     0.43845323         336549
3200      2.4000000     -1.2313656   -0.046309375      1.2874161      40.192602     0.43776875         347114
